"Sign in", "Sign in"
"Please enter your Twitter email", "Please enter your Twitter email"
"Back", "Back"
"Login", "Login"
"Email Address", "Email Address"
"Password", "Password"
"Forgot Your Password?", "Forgot Your Password?"
"Login", "Login"
"Don't you have an account?", "Don't you have an account?"
"Create an Account", "Create an Account"
"Sign in With", "Sign in With"
"Connect with Facebook", "Connect with Facebook"
"Connect with Twitter", "Connect with Twitter"
"Connect with Google", "Connect with Google"
"Connect with Yahoo", "Connect with Yahoo"
"First Name", "First Name"
"Last Name", "Last Name"
"Confirm Password", "Confirm Password"
"Sign Up Now", "Sign Up Now"
"Forgot Password", "Forgot Password"
"&laquo; Back to Login", "&laquo; Back to Login"
"Register with us for future convenience:", "Register with us for future convenience:"
"Register and save time!", "Register and save time!"
"Fast and easy check out", "Fast and easy check out"
"Easy access to your order history and status", "Easy access to your order history and status"
"Already registered?", "Already registered?"
"Please log in below:", "Please log in below:"
"* Required Fields", "* Required Fields"
"Continue", "Continue"
"Thank you for registering with %s", "Thank you for registering with %s"
"You will receive welcome email with registration info in a moment.", "You will receive welcome email with registration info in a moment."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Please enter your email.","Please enter your email."
"Forgot password fail because Email not exsit","Forgot password fail because Email not exsit"
"Forgot password fail.","Forgot password fail."
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"Thank you for registering with %s","Thank you for registering with %s"
"Invalid email address.","Invalid email address."
"Could not connect to Twitter. Refresh the page or try again later.","Could not connect to Twitter. Refresh the page or try again later."
"Provider email and customer email different.","Provider email and customer email different."
"Provider Id are required.","Provider Id are required."
"Invalid Email Address or Password","Invalid Email Address or Password"
"Account Not Confirmed %s","Account Not Confirmed %s"
"This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email.","This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email."
"The account information has been saved.","บันทึกข้อมูลติดต่อเรียบร้อยแล้ว"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.","มีอีเมลผู้ใช้นี้อยู่ในระบบแล้ว ถ้าบัญชีเป็นของคุณ, <a href="%s">กรุณาคลิก</a> เพื่อเข้าสู่ระบบด้วยอีเมลบัญชีผู้ใช้ของคุณ."
